node,name,ID,Higher-level.taxon,Resolved.to,Trophic.role,Habitat,M
Geopelia maugeus,Barred dove,49,Aves,species,herbivore,Terrestrial,NA
Ducula aenea,Green imperial pigeon,50,Aves,species,herbivore,Terrestrial,NA
Corvus macrorhynchos,Large-billed crow,51,Aves,species,omnivore,Terrestrial,0.545
Haliastur indus,Brahminy kite,52,Aves,species,carnivore,Terrestrial,NA
Icthyophaga leucogaster,White-bellied sea eagle,53,Aves,species,carnivore,Terrestrial,2.7515
Crocidura sp.,Shrew,54,Mammalia,genus,invertivore,Terrestrial,0.01
Hipposideros diadema,Diadem roundleaf bat,55,Mammalia,species,invertivore,Terrestrial,0.05
Pteropus vampyrus,Large flying-fox,56,Mammalia,species,herbivore,Terrestrial,1.027
Mus musculus,House mouse,57,Mammalia,species,omnivore,Terrestrial,0.0215
Rattus sp.,Rats,58,Mammalia,genus,omnivore,Terrestrial,0.28
Komodomys rintjanus,Komodo rat,59,Mammalia,species,omnivore,Terrestrial,0.2
Macaca fascicularis,Crab-eating macaque,60,Mammalia,species,omnivore,Terrestrial,4.569
Paradoxurus musangus,Southeast Asian palm civet,61,Mammalia,species,omnivore,Terrestrial,3.1
?Arctogalidia sp.,Small-toothed palm civet,62,Mammalia,species,omnivore,Terrestrial,2.5
Sus scrofa,Wild boar,63,Mammalia,species,omnivore,Terrestrial,50
Cervus timorensis,Rusa samber deer,64,Mammalia,species,herbivore,Terrestrial,70
Bubalis bubalis,Water buffalo,65,Mammalia,species,herbivore,Terrestrial,400
Varanus komodoensis Y,Komodo dragon,66,Lacertilia,species,carnivore,Terrestrial,1
Varanus komodoensis J,Komodo dragon,67,Lacertilia,species,carnivore,Terrestrial,10
Varanus komodoensis S,Komodo dragon,68,Lacertilia,species,carnivore,Terrestrial,25
Varanus komodoensis A,Komodo dragon,69,Lacertilia,species,carnivore,Terrestrial,80
