resource,consumer
Trees and shrubs,Hymenoptera
Roots and tubers,Hymenoptera
Fungi,Hymenoptera
Trox sp.,Hymenoptera
Scarabidae indet,Hymenoptera
Coleoptera (other),Hymenoptera
Diptera,Hymenoptera
Lepidoptera,Hymenoptera
Fruits and nectar,Lepidoptera
Odonata,Araneidae
Gastrimargus lumbokensis,Araneidae
Stenocatanops exinsula,Araneidae
Valanga nigricornis,Araneidae
Austracris guttulosa,Araneidae
Blattodea,Araneidae
Heteroptera,Araneidae
Trox sp.,Araneidae
Scarabidae indet,Araneidae
Coleoptera (other),Araneidae
Diptera,Araneidae
Hymenoptera,Araneidae
Lepidoptera,Araneidae
Detritus,Brachyura
Diplopoda,Brachyura
Detritus,Isopoda
Carrion,Isopoda
Algae,Isopoda
Trees and shrubs,Isopoda
Fungi,Isopoda
Detritus,Teleostei
Demospongiae,Teleostei
Branchiopoda,Teleostei
Heteroptera,Teleostei
Trox sp.,Teleostei
Scarabidae indet,Teleostei
Coleoptera (other),Teleostei
Carrion,Anura
Algae,Anura
Odonata,Anura
Gastrimargus lumbokensis,Anura
Stenocatanops exinsula,Anura
Valanga nigricornis,Anura
Austracris guttulosa,Anura
Blattodea,Anura
Trox sp.,Anura
Scarabidae indet,Anura
Coleoptera (other),Anura
Diptera,Anura
Hymenoptera,Anura
Lepidoptera,Anura
Araneidae,Anura
Odonata,Gekko gekko
Gastrimargus lumbokensis,Gekko gekko
Stenocatanops exinsula,Gekko gekko
Valanga nigricornis,Gekko gekko
Austracris guttulosa,Gekko gekko
Blattodea,Gekko gekko
Isoptera,Gekko gekko
Heteroptera,Gekko gekko
Trox sp.,Gekko gekko
Scarabidae indet,Gekko gekko
Coleoptera (other),Gekko gekko
Hymenoptera,Gekko gekko
Lepidoptera,Gekko gekko
Fruits and nectar,Hemidactylus frenatus
Odonata,Hemidactylus frenatus
Gastrimargus lumbokensis,Hemidactylus frenatus
Stenocatanops exinsula,Hemidactylus frenatus
Valanga nigricornis,Hemidactylus frenatus
Austracris guttulosa,Hemidactylus frenatus
Blattodea,Hemidactylus frenatus
Isoptera,Hemidactylus frenatus
Heteroptera,Hemidactylus frenatus
Trox sp.,Hemidactylus frenatus
Scarabidae indet,Hemidactylus frenatus
Coleoptera (other),Hemidactylus frenatus
Hymenoptera,Hemidactylus frenatus
Lepidoptera,Hemidactylus frenatus
Araneidae,Hemidactylus frenatus
Odonata,Hemidactylus platyurus
Gastrimargus lumbokensis,Hemidactylus platyurus
Stenocatanops exinsula,Hemidactylus platyurus
Valanga nigricornis,Hemidactylus platyurus
Austracris guttulosa,Hemidactylus platyurus
Blattodea,Hemidactylus platyurus
Isoptera,Hemidactylus platyurus
Heteroptera,Hemidactylus platyurus
Trox sp.,Hemidactylus platyurus
Scarabidae indet,Hemidactylus platyurus
Coleoptera (other),Hemidactylus platyurus
Hymenoptera,Hemidactylus platyurus
Lepidoptera,Hemidactylus platyurus
Araneidae,Hemidactylus platyurus
Odonata,Lepidodactylus intermedius
Gastrimargus lumbokensis,Lepidodactylus intermedius
Stenocatanops exinsula,Lepidodactylus intermedius
Valanga nigricornis,Lepidodactylus intermedius
Austracris guttulosa,Lepidodactylus intermedius
Blattodea,Lepidodactylus intermedius
Isoptera,Lepidodactylus intermedius
Heteroptera,Lepidodactylus intermedius
Trox sp.,Lepidodactylus intermedius
Scarabidae indet,Lepidodactylus intermedius
Coleoptera (other),Lepidodactylus intermedius
Hymenoptera,Lepidodactylus intermedius
Lepidoptera,Lepidodactylus intermedius
Diplopoda,Sphenomorphus melanopogon
Gastrimargus lumbokensis,Sphenomorphus melanopogon
Stenocatanops exinsula,Sphenomorphus melanopogon
Valanga nigricornis,Sphenomorphus melanopogon
Austracris guttulosa,Sphenomorphus melanopogon
Blattodea,Sphenomorphus melanopogon
Isoptera,Sphenomorphus melanopogon
Heteroptera,Sphenomorphus melanopogon
Trox sp.,Sphenomorphus melanopogon
Scarabidae indet,Sphenomorphus melanopogon
Coleoptera (other),Sphenomorphus melanopogon
Diptera,Sphenomorphus melanopogon
Hymenoptera,Sphenomorphus melanopogon
Araneidae,Sphenomorphus melanopogon
Isopoda,Sphenomorphus melanopogon
Anura,Trimeresurus insularis
Gekko gekko,Trimeresurus insularis
Hemidactylus frenatus,Trimeresurus insularis
Hemidactylus platyurus,Trimeresurus insularis
Lepidodactylus intermedius,Trimeresurus insularis
Sphenomorphus melanopogon,Trimeresurus insularis
Mus musculus,Trimeresurus insularis
Rattus sp.,Trimeresurus insularis
Komodomys rintjanus,Trimeresurus insularis
Varanus komodoensis Y,Trimeresurus insularis
Anura,Coelognathus subradiatus
Gekko gekko,Coelognathus subradiatus
Hemidactylus frenatus,Coelognathus subradiatus
Hemidactylus platyurus,Coelognathus subradiatus
Lepidodactylus intermedius,Coelognathus subradiatus
Sphenomorphus melanopogon,Coelognathus subradiatus
Mus musculus,Coelognathus subradiatus
Rattus sp.,Coelognathus subradiatus
Komodomys rintjanus,Coelognathus subradiatus
Anura,Dendrelaphis pictus
Gekko gekko,Dendrelaphis pictus
Hemidactylus frenatus,Dendrelaphis pictus
Hemidactylus platyurus,Dendrelaphis pictus
Lepidodactylus intermedius,Dendrelaphis pictus
Sphenomorphus melanopogon,Dendrelaphis pictus
Anura,Naja sputatrix
Gekko gekko,Naja sputatrix
Hemidactylus frenatus,Naja sputatrix
Hemidactylus platyurus,Naja sputatrix
Lepidodactylus intermedius,Naja sputatrix
Sphenomorphus melanopogon,Naja sputatrix
Mus musculus,Naja sputatrix
Rattus sp.,Naja sputatrix
Komodomys rintjanus,Naja sputatrix
Varanus komodoensis Y,Naja sputatrix
Anura,Daboia siamensis
Gekko gekko,Daboia siamensis
Hemidactylus frenatus,Daboia siamensis
Hemidactylus platyurus,Daboia siamensis
Lepidodactylus intermedius,Daboia siamensis
Sphenomorphus melanopogon,Daboia siamensis
Mus musculus,Daboia siamensis
Rattus sp.,Daboia siamensis
Komodomys rintjanus,Daboia siamensis
Varanus komodoensis Y,Daboia siamensis
Algae,Eretmochelys imbricata
Demospongiae,Eretmochelys imbricata
Medusozoa,Eretmochelys imbricata
Bivalvia,Eretmochelys imbricata
Teleostei,Eretmochelys imbricata
Grains and seeds,Megapodius reinwardt
Fruits and nectar,Megapodius reinwardt
Trees and shrubs,Megapodius reinwardt
Roots and tubers,Megapodius reinwardt
Asperitas trochus,Megapodius reinwardt
Diplopoda,Megapodius reinwardt
Odonata,Megapodius reinwardt
Gastrimargus lumbokensis,Megapodius reinwardt
Stenocatanops exinsula,Megapodius reinwardt
Valanga nigricornis,Megapodius reinwardt
Austracris guttulosa,Megapodius reinwardt
Blattodea,Megapodius reinwardt
Heteroptera,Megapodius reinwardt
Trox sp.,Megapodius reinwardt
Scarabidae indet,Megapodius reinwardt
Coleoptera (other),Megapodius reinwardt
Brachyura,Megapodius reinwardt
Isopoda,Megapodius reinwardt
Anura,Megapodius reinwardt
Sphenomorphus melanopogon,Megapodius reinwardt
