consumer,resource,PATL
Varanus komodoensis J C,Naja naja,4.128814
Varanus komodoensis J C,Daboia siamensis,4.128814
Varanus komodoensis J C,Eretmochelys imbricata,3.33241
Varanus komodoensis J C,Megapodius reinwardt,3.084459
Varanus komodoensis J C,Gallus varius,3.209992
Varanus komodoensis J C,Geopelia maugeus,2
Varanus komodoensis J C,Ducula aenea,2
Varanus komodoensis J C,Haliastur indus,3.788552
Varanus komodoensis J C,Crocidura sp.,3.224644
Varanus komodoensis J C,Hipposideros diadema,3.226697
Varanus komodoensis J C,Pteropus vampyrus,2
Varanus komodoensis J C,Mus musculus,2.763556
Varanus komodoensis J C,Rattus sp.,2.763556
Varanus komodoensis J C,Komodomys rintjanus,2.763556
Varanus komodoensis J C,Paradoxurus musangus,3.428895
Varanus komodoensis J C,?Arctogalidia sp.,3.568229
Varanus komodoensis J C,Varanus komodoensis Y,3.677207
Varanus komodoensis S,Carrion,1
Varanus komodoensis S,Bivalvia,2.333333
Varanus komodoensis S,Brachyura,2.5
Varanus komodoensis S,Teleostei,2.964242
Varanus komodoensis S,Trimeresurus insularis,4.128814
Varanus komodoensis S,Coelognathus subradiatus,4.067882
Varanus komodoensis S,Dendrelaphis pictus,4.220045
Varanus komodoensis S,Naja naja,4.128814
Varanus komodoensis S,Daboia siamensis,4.128814
Varanus komodoensis S,Eretmochelys imbricata,3.33241
Varanus komodoensis S,Megapodius reinwardt,3.084459
Varanus komodoensis S,Gallus varius,3.209992
Varanus komodoensis S,Geopelia maugeus,2
Varanus komodoensis S,Ducula aenea,2
Varanus komodoensis S,Haliastur indus,3.788552
Varanus komodoensis S,Mus musculus,2.763556
Varanus komodoensis S,Rattus sp.,2.763556
Varanus komodoensis S,Komodomys rintjanus,2.763556
Varanus komodoensis S,Macaca fascicularis,2.955439
Varanus komodoensis S,Paradoxurus musangus,3.428895
Varanus komodoensis S,?Arctogalidia sp.,3.568229
Varanus komodoensis S,Sus scrofa,3.193718
Varanus komodoensis S,Cervus timorensis,2
Varanus komodoensis S,Bubalis bubalis,2
Varanus komodoensis S C,Carrion,1
Varanus komodoensis S C,Bivalvia,2.333333
Varanus komodoensis S C,Brachyura,2.5
Varanus komodoensis S C,Teleostei,2.964242
Varanus komodoensis S C,Trimeresurus insularis,4.128814
Varanus komodoensis S C,Coelognathus subradiatus,4.067882
Varanus komodoensis S C,Dendrelaphis pictus,4.220045
Varanus komodoensis S C,Naja naja,4.128814
Varanus komodoensis S C,Daboia siamensis,4.128814
Varanus komodoensis S C,Eretmochelys imbricata,3.33241
Varanus komodoensis S C,Megapodius reinwardt,3.084459
Varanus komodoensis S C,Gallus varius,3.209992
Varanus komodoensis S C,Geopelia maugeus,2
Varanus komodoensis S C,Ducula aenea,2
Varanus komodoensis S C,Haliastur indus,3.788552
Varanus komodoensis S C,Mus musculus,2.763556
Varanus komodoensis S C,Rattus sp.,2.763556
Varanus komodoensis S C,Komodomys rintjanus,2.763556
