consumer,resource,PATL
J Tyrannosauridae-juv,Ornithomimidae,2
J Tyrannosauridae-juv,Caenagnathus collinsi,3.542095
J Tyrannosauridae-juv,Chirostenotes pergracilis,3.553204
J Tyrannosauridae-juv,Citipes elegans,3.542095
J Tyrannosauridae-juv,cf Richardoestesia spp.,4.024568
J Tyrannosauridae-juv,cf Paronychodon,3.692584
J Tyrannosauridae-juv,Troodontidae,3.713164
J Tyrannosauridae-juv,Dromaeosauridae,4.10827
J Tyrannosauridae-juv,Hesperonychus elizabethae,3.957902
J Tyrannosauridae-juv,Ornithurae (large),2.708732
J Tyrannosauridae-juv,Y Tyrannosauridae,4.145605
J Tyrannosauridae pack-juv,Carrion,1
J Tyrannosauridae pack-juv,Varanoidea,3.670875
J Tyrannosauridae pack-juv,Orodrominae,2
J Tyrannosauridae pack-juv,Pachycephalosauridae,2.567923
J Tyrannosauridae pack-juv,Unescoceratops koppelhusae,2
J Tyrannosauridae pack-juv,Ornithomimidae,2
J Tyrannosauridae pack-juv,Caenagnathus collinsi,3.542095
J Tyrannosauridae pack-juv,Chirostenotes pergracilis,3.553204
J Tyrannosauridae pack-juv,Citipes elegans,3.542095
J Tyrannosauridae pack-juv,cf Richardoestesia spp.,4.024568
J Tyrannosauridae pack-juv,cf Paronychodon,3.692584
J Tyrannosauridae pack-juv,Troodontidae,3.713164
J Tyrannosauridae pack-juv,Dromaeosauridae,4.10827
J Tyrannosauridae pack-juv,Hesperonychus elizabethae,3.957902
J Tyrannosauridae pack-juv,Ornithurae (large),2.708732
J Tyrannosauridae pack-juv,Euoplocephalus tutus,2
J Tyrannosauridae pack-juv,Nodosauridae,2
J Tyrannosauridae pack-juv,Lambeosaurinae,2.1
J Tyrannosauridae pack-juv,Saurolophinae,2.1
J Tyrannosauridae pack-juv,Centrosaurinae,2.125
J Tyrannosauridae pack-juv,Chasmosaurinae,2.125
Y Tyrannosauridae,Carrion,1
Y Tyrannosauridae,Odaxosaurus priscus,3.411796
Y Tyrannosauridae,Orthrioscincus mixtus,3.349986
Y Tyrannosauridae,Teiidae,3.429901
Y Tyrannosauridae,?Exostinus sp.,3.477741
Y Tyrannosauridae,Varanoidea,3.670875
Y Tyrannosauridae,Orodrominae,2
Y Tyrannosauridae,Citipes elegans,3.542095
Y Tyrannosauridae,cf Richardoestesia spp.,4.024568
Y Tyrannosauridae,Hesperonychus elizabethae,3.957902
Y Tyrannosauridae,Ornithurae (large),2.708732
Y Tyrannosauridae,Mesodma primaeva,2.824715
Y Tyrannosauridae,Multituberculata (other),2.634396
Y Tyrannosauridae,Alphadontidae,3.412962
Y Tyrannosauridae,Pediomys spp.,3.009231
Y Tyrannosauridae,Stagodontidae,3.403831
Y Tyrannosauridae,Gypsonictops lewisi,2.988059
Y Tyrannosauridae,Eutheria (other),3.050543
Y Tyrannosauridae pack,Carrion,1
Y Tyrannosauridae pack,Odaxosaurus priscus,3.411796
Y Tyrannosauridae pack,Orthrioscincus mixtus,3.349986
Y Tyrannosauridae pack,Teiidae,3.429901
Y Tyrannosauridae pack,?Exostinus sp.,3.477741
Y Tyrannosauridae pack,Varanoidea,3.670875
Y Tyrannosauridae pack,Orodrominae,2
Y Tyrannosauridae pack,Citipes elegans,3.542095
Y Tyrannosauridae pack,cf Richardoestesia spp.,4.024568
Y Tyrannosauridae pack,Hesperonychus elizabethae,3.957902
Y Tyrannosauridae pack,Ornithurae (large),2.708732
Y Tyrannosauridae pack,Mesodma primaeva,2.824715
Y Tyrannosauridae pack,Multituberculata (other),2.634396
Y Tyrannosauridae pack,Alphadontidae,3.412962
Y Tyrannosauridae pack,Pediomys spp.,3.009231
Y Tyrannosauridae pack,Stagodontidae,3.403831
Y Tyrannosauridae pack,Gypsonictops lewisi,2.988059
Y Tyrannosauridae pack,Eutheria (other),3.050543
Y Tyrannosauridae pack,Euoplocephalus tutus,2
Y Tyrannosauridae pack,Nodosauridae,2
Y Tyrannosauridae pack,Lambeosaurinae,2.1
Y Tyrannosauridae pack,Saurolophinae,2.1
Y Tyrannosauridae pack,Centrosaurinae,2.125
Y Tyrannosauridae pack,Chasmosaurinae,2.125
Y Tyrannosauridae pack,J Lambeosaurinae,2
Y Tyrannosauridae pack,J Saurolophinae,2
Y Tyrannosauridae pack,J Centrosaurinae,2.125
Y Tyrannosauridae pack,J Chasmosaurinae,2.125
Y Tyrannosauridae pack-juv,Carrion,1
Y Tyrannosauridae pack-juv,Odaxosaurus priscus,3.411796
Y Tyrannosauridae pack-juv,Orthrioscincus mixtus,3.349986
Y Tyrannosauridae pack-juv,Teiidae,3.429901
Y Tyrannosauridae pack-juv,?Exostinus sp.,3.477741
Y Tyrannosauridae pack-juv,Varanoidea,3.670875
Y Tyrannosauridae pack-juv,Orodrominae,2
Y Tyrannosauridae pack-juv,Citipes elegans,3.542095
Y Tyrannosauridae pack-juv,cf Richardoestesia spp.,4.024568
Y Tyrannosauridae pack-juv,Hesperonychus elizabethae,3.957902
Y Tyrannosauridae pack-juv,Ornithurae (large),2.708732
Y Tyrannosauridae pack-juv,Mesodma primaeva,2.824715
Y Tyrannosauridae pack-juv,Multituberculata (other),2.634396
Y Tyrannosauridae pack-juv,Alphadontidae,3.412962
Y Tyrannosauridae pack-juv,Pediomys spp.,3.009231
Y Tyrannosauridae pack-juv,Stagodontidae,3.403831
Y Tyrannosauridae pack-juv,Gypsonictops lewisi,2.988059
Y Tyrannosauridae pack-juv,Eutheria (other),3.050543
Y Tyrannosauridae pack-juv,Euoplocephalus tutus,2
Y Tyrannosauridae pack-juv,Nodosauridae,2
Y Tyrannosauridae pack-juv,Lambeosaurinae,2.1
Y Tyrannosauridae pack-juv,Saurolophinae,2.1
Y Tyrannosauridae pack-juv,Centrosaurinae,2.125
Y Tyrannosauridae pack-juv,Chasmosaurinae,2.125
