Taxon,Age,M.Erickson1,M.Erickson2,B.proportion,Age.class.Schroeder,B.prop.by.class.Schroeder,Age.class.Therrien,B.prop.by.class.this.study
Gorgosaurus,24,1704.54593283965,1219.15128700774,0.01,Adult,0.0247218788627936,Adult,0.0121212121212121
Gorgosaurus,25,1777.74495257966,1223.80675959591,0.005,Adult,0.0123609394313968,Adult,0.00606060606060606
Gorgosaurus,26,1841.85868843609,1227.01098331165,0.0025,Adult,0.00618046971569839,Adult,0.00303030303030303
Daspletosaurus,1,31.7065466670296,12.9770836666875,0.002,Young juvenile,0.137931034482759,Young juvenile,0.210526315789474
Daspletosaurus,2,44.2481117766616,20.0663149638017,0.002,Young juvenile,0.137931034482759,Young juvenile,0.210526315789474
Daspletosaurus,3,61.5875874829061,30.9584031706162,0.0025,Young juvenile,0.172413793103448,Young juvenile,0.263157894736842
Daspletosaurus,4,85.4103176435594,47.5979992257911,0.003,Young juvenile,0.206896551724138,Young juvenile,0.315789473684211
Daspletosaurus,5,117.859412474735,72.7974389323503,0.005,Young juvenile,0.344827586206897,Juvenile,0.0396825396825397
Daspletosaurus,6,161.543285557568,110.461043974337,0.0075,Juvenile,0.0207756232686981,Juvenile,0.0595238095238095
Daspletosaurus,7,219.432524471029,165.660597711516,0.01,Juvenile,0.0277008310249308,Juvenile,0.0793650793650794
Daspletosaurus,8,294.565545322819,244.278706238321,0.015,Juvenile,0.0415512465373961,Juvenile,0.119047619047619
Daspletosaurus,9,389.486539989019,351.805447236995,0.021,Juvenile,0.0581717451523546,Juvenile,0.166666666666667
Daspletosaurus,10,505.407507678571,491.000304431897,0.03,Juvenile,0.0831024930747922,Juvenile,0.238095238095238
Daspletosaurus,11,641.250498731348,658.900407519155,0.0375,Juvenile,0.10387811634349,Juvenile,0.297619047619048
Daspletosaurus,12,792.948778704482,844.995078810014,0.0475,Juvenile,0.131578947368421,Adult,0.0549450549450549
Daspletosaurus,13,953.5,1032.87083012536,0.0575,Juvenile,0.159279778393352,Adult,0.0665124349334876
Daspletosaurus,14,1114.05122129552,1205.49078654863,0.065,Juvenile,0.18005540166205,Adult,0.075187969924812
Daspletosaurus,15,1265.74950126865,1350.89505607891,0.07,Juvenile,0.193905817174515,Adult,0.0809716599190283
Daspletosaurus,16,1401.59249232143,1464.67482202517,0.073,Adult,0.116893514811849,Adult,0.0844418739155581
Daspletosaurus,17,1517.51346001098,1548.68196627293,0.075,Adult,0.120096076861489,Adult,0.0867553499132446
Daspletosaurus,18,1612.43445467718,1608.08300282056,0.0725,Adult,0.11609287429944,Adult,0.0838635049161365
Daspletosaurus,19,1687.56747552897,1648.8129386235,0.07,Adult,0.11208967173739,Adult,0.0809716599190283
Daspletosaurus,20,1745.45671444243,1676.1549195872,0.065,Adult,0.104083266613291,Adult,0.075187969924812
Daspletosaurus,21,1789.14058752527,1694.24941558449,0.0575,Adult,0.0920736589271417,Adult,0.0665124349334876
Daspletosaurus,22,1821.58968235644,1706.11120546265,0.05,Adult,0.0800640512409928,Adult,0.0578368999421631
Daspletosaurus,23,1845.41241251709,1713.83896234227,0.0425,Adult,0.0680544435548439,Adult,0.0491613649508386
Daspletosaurus,24,1862.75188822334,1718.85309051017,0.0375,Adult,0.0600480384307446,Adult,0.0433776749566223
Daspletosaurus,25,1875.29345333297,1722.09793450302,0.028,Adult,0.044835868694956,Adult,0.0323886639676113
Daspletosaurus,26,1884.32354533602,1724.19422663899,0.02,Adult,0.0320256204963971,Adult,0.0231347599768652
Daspletosaurus,27,1890.80405912581,1725.54701953413,0.015,Adult,0.0240192153722978,Adult,0.0173510699826489
Daspletosaurus,28,1895.44391915238,1726.41939207928,0.01,Adult,0.0160128102481986,Adult,0.0115673799884326
Daspletosaurus,29,1898.76033115701,1726.9816990705,0.005,Adult,0.00800640512409928,Adult,0.00578368999421631
Daspletosaurus,30,1901.12793402699,1727.3440393206,0.0025,Adult,0.00400320256204964,Adult,0.00289184499710816
Daspletosaurus,31,1902.81672400555,1727.57748021316,0.001,Adult,0.00160128102481986,Adult,0.00115673799884326
