Specimen_no,Field_no,Institution,Locality,Loc_known,Class,Subclass,Order,Suborder,Superfamily,Family,Subfamily,Genus,Species,Type_status,Original_ID,OTU,OTU2,Preservation,Taph_cat,Collected_by,Date_collected,Description,In_ex_situ,References
UAD 115,UAD 115,TMP,U115,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,13 articulated proximal caudals,,
UAD 117,UAD 117,TMP,U117,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Pubis; 4 parallel ribs; R&U,,
UAD 119,UAD 119,TMP,U119,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Associated skeleton in siltstone,,
UAD 122,UAD 122,TMP,U122,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Vertebrae; fibula; limb bones; ribs,,
UAD 123,UAD 123,TMP,U123,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Vertebra; ribs; tendons; limb bones,,
UAD 127,UAD 127,TMP,U127,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Associated femur; tibia; metatarsals; etc.,,
UAD 131,UAD 131,TMP,U131,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Tibia; fibula; metatarsals; phalanges,,
UAD 133,UAD 133,,U133,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Articulated dorsals; ilium; ribs; limb bones,,
UAD 136,UAD 136,TMP,U136,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,29 articulated caudals,,
UAD 137,UAD 137,TMP,U137,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Articulated caudals; feet; ribs; limbs,,
UAD 139,UAD 139,TMP,U139,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,9 articulated caudals; rib; phalanges; limb fragments,,
UAD 140,UAD 140,TMP,U140,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Vertebrae; ribs; scapula; limb elements,,
UAD 143,UAD 143,TMP,U143,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Vertebrae; ribs; pubis; limb fragments,,
UAD 145,UAD 145,TMP,U145,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Vertebrae; ribs; ilium,,
UAD 146,UAD 146,TMP,U146,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Dentary with teeth; two dorsals; ribs; etc.,,
UAD 147,UAD 147,TMP,U147,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Dorsal; sacral vert.; pubis; ischium; ribs,,
UAD 148,UAD 148,TMP,U148,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Articulated arm bones; vertebrae; ribs,,
UAD 150,UAD 150,TMP,U150,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,2 femora; tibia,,
UAD 152,UAD 152,TMP,U152,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Tendons; pubis?; ribs; metatarsal; limb bones,,
UAD 154,UAD 154,TMP,U154,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Old quarry with 1954 newspaper. Ribs; vertebrae; limb bones,,
UAD 158,UAD 158,TMP,U158,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Maxilla; ribs; tendons; vertebrae; limb bones; juvenile,,
UAD 159,UAD 159,TMP,U159,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Scapula (730mm); mtIII (445mm); mtII; mtIv; tibia; 6 articulated dorsals and ribs,,
UAD 161,UAD 161,,U161,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Limb bones in a bonebed,,
UAD 163,UAD 163,,U163,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Limb bones,,
UAD 164,UAD 164,,U164,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Scap; Mtc; Isch.; Fib.; ungual; vertebrae: In BB167.,,
UAD 165,UAD 165,,U165,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,"Juvenile: F is 55 cm long; Both F.; Fibula, etc. Might be U150.",,
UAD 169,UAD 169,,U169,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Tibia a meter long. Previously marked by a cairn. ,,
UAD 170,UAD 170,,U170,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Lower leg bones,,
UAD 171,UAD 171,,U171,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,5 limb bones plus one vertebra plus two shed tyrannosaur teeth,,
UAD 174,UAD 174,,U174,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Limb bones; vertebrae,,
UAD 176,UAD 176,,U176,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Badly eroded ribs and vertebrae,,
UAD 178,UAD 178,,U178,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,5 limb bones,,
UAD 180,UAD 180,,U180,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Rib and manual phalanx in situ; much bone down the hill,,
UAD 181,UAD 181,,U181,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Both dentaries with teeth; one quadrate,,
UAD 182,UAD 182,,U182,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Articulated pterygoid and quadrate,,
UAD 183,UAD 183,,U183,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Badly eroded articulated skeleton in ironstone. Bone is mostly impression,,
UAD 184,UAD 184,,U184,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,poor condition; in siltstone,,Badly fractured and eroded limb elements. No overburden.,,
UAD 185,UAD 185,TMP,U185,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,G. Maier,,Articulated tail excavated; but still a few bones left.,,
UAD 187,UAD 187,TMP,U187,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Disarticulated hadrosaur skeleton: not much seen in 2001,,
UAD 188,UAD 188,TMP,U188,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Two arm bones extending from hill,,
UAD 191,UAD 191,TMP,U191,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Eroded foot,,
UAD 192,UAD 192,TMP,U192,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,3 ribs; femur; other bones; no overburden to speak of,,
UAD 197,UAD 197,TMP,U197,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Skull; vertebrae; ribs; gastralia,,
UAD 201,TMP U201,TMP,U201,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,2 maxillae and other cranial bones.,,
UAD 203,TMP U203,TMP,U203,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Ischium; ribs; vertebrae.,,
UAD 204,TMP U204,TMP,U204,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Badly shattered; but in mudstone and may be better in hill.,in situ,
UAD 205,TMP U205,TMP,U205,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,15 vertebrae; ribs. Fair prospect.,,
UAD 207,TMP U207,TMP,U207,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Poor prospect. Ribs; vertebrae; limb bones.,,
UAD 208,TMP U208,TMP,U208,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Poor prospect. Ribs; tendons. Standing vertically in slump block.,in situ,
UAD 209,TMP U209,TMP,U209,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Poor prospect. Femur; 2 fibulae; ?tibia; other scraps.,,
UAD 210,TMP U210,TMP,U210,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Badly weathered femur and sacrum,,
UAD 211,TMP U211,TMP,U211,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Two femora plus tibia,,
UAD 212,TMP U212,TMP,U212,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,D. Tanke & crew,2003-05-17,3 metatarsals; 2 phalanges of an adult hadrosaur,,
UAD 213,TMP U213,TMP,U213,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Juvenile: femur; fibula; ischium; 4 or more ribs; vertebrae,,
UAD 216,TMP U216,TMP,U216,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Astragalus; vertebrae; ribs; sacrum,,
UAD 217,TMP U217,TMP,U217,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Metatarsals; tibia; fibula of an adult,,
UAD 220,TMP U220,TMP,U220,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Parallel ribs; vertebrae; scapula; manual phalanges,,
UAD 222,TMP U222,TMP,U222,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Vertebrae; ribs; possibly limb bones,,
UAD 224,TMP U224,TMP,U224,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,6 or 7 articulated caudal vertebrae,,
UAD 226,TMP U226,TMP,U226,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Six or more anterior caudals,,
UAD 228,TMP U228,TMP,U228,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Dentary; skull fragments with teeth; femur: relatively small individual,,
UAD 232,TMP U232,TMP,U232,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,North side of South Sandhill Pocket,,
UAD 237,TMP U237,TMP,U237,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Ironstone infilling of friable mudstone in possible footprint. Other possible footprints at same level.,,
UAD 238,TMP U238,TMP,U238,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Juvenile: left maxilla; left dentary (both with teeth) and many more bones,,
UAD 239,TMP U239,TMP,U239,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Associated skeleton: 3 limb bones; ribs; anterior half of right jugal,,
UAD 241,TMP U241,TMP,U241,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Scattered skeleton including 5 limb bones,,
UAD 242,TMP U242,TMP,U242,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Eroded hadrosaur skeleton including jaw; vertebrae; ribs; tendons; hind limb bones. Forms mound in BB119.,,
UAD 243,TMP U243,TMP,U243,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Eroded hadrosaur skeleton in siltstone. 5 pedal unguals; end of radius; maxilla frag.; phalanges; vertebrae; ribs; limb bone fragments.,,
UAD 244,TMP U244,TMP,U244,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,"eroded hadrosaur skeleton with 1 rib, 1 cervical vert, 5 caudals, 1 pubis",,
UAD 245,UAD 245,UALVP,U245,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,hadrosaur in sinkhole with part of block broken off and slumped; ribs & limbs,,
UAD 246,UAD 246,UALVP,U246,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,articulated tail with tendons and metatarsals; above Q253,,
UAD 248,UAD 248,UALVP,U248,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,hadrosaur tail,,
UALVP55318,UAD 249,UALVP,U249,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,much of a badly eroded skeleton,,
UAD 250,UAD 250,UALVP,U250,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,"hadrosaur distal caudals, at least 7 in articulation",,
UAD 251,UAD 251,UALVP,U251,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,"associated femur, tibia, fibula and vertebrae",,
UAD 256,UAD 256,UALVP,U256,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Hadrosaur ironstone ribs and limbs,,
UAD 257,UAD 257,UALVP,U257,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Hadrosaur sacrum and limbs,,
UAD 261,UAD 261,UALVP,U261,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Femur; tibia; Mt; tendons,,
UAD 263,UAD 263,UALVP,U263,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Femur; tibia; Mt,,
UAD 264,UAD 264,UALVP,U264,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Eva hadrosaur,,
UAD 265,UAD 265,UALVP,U265,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Eva 150522 hadrosaur,,
UAD 272,UAD 272,UALVP,Q304,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,Lambeosaurinae,Lambeosaurus,Lambeosaurus lambei,,,Lambeosaurus lambei,Hadrosaurids,SK,MEGA,P.J. Currie et al.,2024-06-22,Skull and skeleton,in situ,
UAD 273,UAD 273,UALVP,U273,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Femur; tibia,,
UAD 274,UAD 274,UALVP,U274,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Associated adult skeleton,,
UAD 275,UAD 275,UALVP,U275,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Large limb bones,,
UAD 276,UAD 276,UALVP,U276,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Vertebrae; tibia; MT,,
UAD 277,UAD 277,UALVP,U277,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Limbs and ribs; uncollectable,,
UAD 278,UAD 278,UALVP,U278,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Adult vertebrae; pelvis; jaw; femur,,
UAD 279,UAD 279,UALVP,U279,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Vertebrae; ribs; femur; other limb,,
UAD 280,UAD 280,UALVP,U280,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,6 dorsal vertebrae,,
UAD 281,UAD 281,,U281,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,6 bones,,
UAD 282,UAD 282,,U282,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,,,
UAD 283,UAD 283,,U283,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Adult with 6+ bones,,
UAD 284,UAD 284,,U284,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,5 caudals,,
UAD 285,UAD 285,,U285,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Adult with 11 caudals,,
UAD 286,DPP.2023.288,TMP,U286,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Skeleton,,
UAD 287,UAD 287,,U287,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Articulated tail,,
TMP2022.028.0001,UAD 288,TMP,U288,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Skeleton with skin,,
UAD 291,UAD 291,UALVP,U291,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Partial skeleton lying upside down,in situ,
UAD 292,UAD 292,,U292,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Disarticulated skeleton,in situ,
UAD 293,UAD 293,,U293,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,,,Associated skeleton,in situ,
UALVP57501,DPP.2016.225,UALVP,V107,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,A. van der Reest,2016-06-16,Articulated manus,in situ,
UALVP57795,DPP.2019.298,UALVP,V120,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,M. Powers; A. Dyer,2019-07-10,Articulated foot and distal tibia-fibula,in situ,
AMNH 5345,Field#10,AMNH,Not found,N,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,B. Brown; P. Kaisen,1914,Field # 10; B. Brown: body,,L. S. Russell 1966
AMNH 5357,Field#22,AMNH,Not found,N,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,B. Brown; P. Kaisen,1914,"Field# 22; B. Brown, hadrosaur, jaw frags and long spined dorsals",,L. S. Russell 1966
AMNH 5378,Field#7,AMNH,Not found,N,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,Trachodon,Hadrosauridae indet,Hadrosaurids,SK,MEGA,B. Brown; Johnson,1915,"Field# 7; B. Brown, skull and jaws -Gair??; Brown reached camp July 21",,L. S. Russell 1966
AMNH 5379,Field#8,AMNH,Not found,N,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,Trachodon,Hadrosauridae indet,Hadrosaurids,SK,MEGA,B. Brown; Johnson,1915,"Field# 8; B. Brown, skull - poor; Brown reached camp July 21",,L. S. Russell 1966
AMNH 5411,Field#6,AMNH,Not found,N,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,B. Brown; P. Kaisen,1913,Field # 6; maxillae and lower jaw; Brown in field June 3 - Oct. 1 ,,L. S. Russell 1966
AMNH 5417,Field#14,AMNH,Not found,N,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,B. Brown; P. Kaisen,1913,Field # 14; maxilla and jaw; Brown in field from June 3 - Oct. 1,,L. S. Russell 1966
AMNH 5426,Field#23,AMNH,Little Sandhill Creek,N,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,B. Brown; P. Kaisen,1913,Field # 23; caudals - 45 in series; Brown in field June 3 - Oct.1,,L. S. Russell 1966
AMNH 5441,Field#40,AMNH,Not found,N,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Hadrosauridae,,,,,,Hadrosauridae indet,Hadrosaurids,SK,MEGA,B. Brown; P. Kaisen,1913,"Field # 40; forelimb, femur, sacrum; Brown in field June 3 - Oct. 1",,L. S. Russell 1966
