Specimen_no,Field_no,Institution,Locality,Loc_known,Class,Subclass,Order,Suborder,Superfamily,Family,Subfamily,Genus,Species,Type_status,Original_ID,OTU,OTU2,Preservation,Taph_cat,Collected_by,Date_collected,Description,In_ex_situ,References
TMP1996.012.0019,,TMP,Near Q118,N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Ornithomimosauria,Ornithomimidae,,,,,,Ornithomimidae indet,Small theropods,SK,TERR,,1996,Ornithomimid articulated ischia,in situ,
TMP1990.036.0140,,TMP,Not found,N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Ornithomimosauria,Ornithomimidae,,,,,,Ornithomimidae indet,Small theropods,SK,TERR,,1990,Pelvic girdle,in situ,
TMP1992.036.0954,,TMP,Not found,N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Ornithomimosauria,Ornithomimidae,,,,,,Ornithomimidae indet,Small theropods,SK,TERR,,1992,Pelvic girdle,,
TMP1979.014.0701,,TMP,Not found,N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Ornithomimosauria,Ornithomimidae,,,,,,Ornithomimidae indet,Small theropods,SK,TERR,,1979,Foot,,
ROM 840,,ROM,Q020,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Ornithomimosauria,Ornithomimidae,,Ornithomimus,Ornithomimus edmontonicus,,Dromiceiomimus samueli,Ornithomimus,Small theropods,SK,TERR,L. Sternberg,1926,Skull & skeleton,in situ,Parks 1928
TMP1993.062.0001,,TMP,Q211,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Ornithomimosauria,Ornithomimidae,,Ornithomimus,Ornithomimus edmontonicus,,,Ornithomimus,Small theropods,SK,TERR,P.J. Currie,1993,Partial skeleton,in situ,
TMP1995.110.0001,,TMP,Q221,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Ornithomimosauria,Ornithomimidae,,Ornithomimus,Ornithomimus edmontonicus,,,Ornithomimus,Small theropods,SK,TERR,P.J. Currie; C. Coy,1995,Skull and skeleton,in situ,Norell et al. 2001; Zelenitsky et al. 2012
CMNFV 8897,11-1917,CMN,Not found,N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Ornithomimosauria,Ornithomimidae,,Ornithomimus,Ornithomimus edmontonicus,,Struthiomimus altus,Ornithomimus,Small theropods,SK,TERR,C. M. Sternberg,1917,Partial skeleton,,Russell 1972
CMNFV 930,,CMN,Not found,N,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Ornithomimosauria,Ornithomimidae,,Ornithomimus,Ornithomimus edmontonicus,,Struthiomimus altus,Ornithomimus,Small theropods,SK,TERR,,,Complete right hind limb; left foot phalanges; pubis; ischium,,Lambe 1902
UAD 294,UAD 294,,U294,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Ornithomimosauria,Ornithomimidae,,,,,,Ornithomimidae indet,Small theropods,SK,MEGA,,,Articulated tail,in situ,
TMP1986.112.0006,,TMP,BB009,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Paraves,Avialae,Ornithurae,Ornithurine A,Ornithurine A,,,Ornithurine A,Small theropods,IE,TERR,,1986,Coracoid,ex situ,Hope 2002; Longrich 2009; C. Brown et al. 2013A
TMP1993.019.0001,,TMP,BB102,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Paraves,Avialae,Ornithurae,Ornithurine E,Ornithurine E,,,Ornithurine E,Small theropods,IE,TERR,,1993,Coracoid,,Hope 2002; Longrich 2009; C. Brown et al. 2013A
UALVP55089,DPP.2013.149,UALVP,BB010,Y,Sauria,Dinosauria,Theropoda,Maniraptoriformes,Paraves,Avialae,Ornithurae,Ornithurine G,Ornithurine G,,,Ornithurine G,Small theropods,IE,TERR,P.J. Currie,2013-05-31,Cf Cimolopteryx coracoid � incomplete,,Mohr et al. 2020
TMP1982.019.0464,,TMP,BB026,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1982,Vertebra,ex situ,C. Brown et al. 2013B
TMP1994.012.0918,DHT/DPP-219 1994,TMP,BB028,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,D. Tanke,1994,Partial tibia,,C. Brown et al. 2013B
TMP1979.011.0032,,TMP,BB043,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1979,Femur,,C. Brown et al. 2013B
TMP1991.036.0561,,TMP,BB050,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1991,Dorsal,ex situ,C. Brown et al. 2013B
TMP1992.036.0653,,TMP,BB050,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1992,Vertebra,,C. Brown et al. 2013B
TMP1994.045.0022,,TMP,BB050,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1994,Vertebra,ex situ,C. Brown et al. 2013B
TMP1996.012.0412,DHT/BB50.24,TMP,BB050,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1996,Vertebra,,C. Brown et al. 2013B
TMP1984.089.0011,,TMP,BB086,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1984,Dentary,ex situ,C. Brown et al. 2013B
TMP1994.172.0043,DPP.94.133,TMP,BB086,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1994,Caudal vertebra,ex situ,C. Brown et al. 2013B
TMP1994.172.0124,DPP.94.144,TMP,BB086,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1994,Caudal vertebra,ex situ,C. Brown et al. 2013B
TMP2003.012.0135,,TMP,BB100,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,2003,Frontal,,C. Brown et al. 2013B
TMP1997.128.0002,,TMP,BB132,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1997,Partial right dentary,,C. Brown et al. 2013B
TMP1981.016.0122,,TMP,Q079,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1981,Centrum,ex situ,C. Brown et al. 2013B
TMP1985.036.0264,,TMP,Not found,N,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1985,Partial femur; surface collected,,C. Brown et al. 2013B
TMP1990.036.0065,,TMP,Not found,N,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1990,Femur,,C. Brown et al. 2013B
TMP1991.036.0702,,TMP,Not found,N,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1991,Partial femur,,C. Brown et al. 2013B
TMP1997.080.0003,,TMP,Not found,N,Sauria,Dinosauria,Ornithischia,Cerapoda,Ornithopoda,Thescelosauridae,Orodrominae,,,,,Orodrominae,Small ornithischians,IE,TERR,,1997,Partial femur,,C. Brown et al. 2013B
